chemicalComposition,Equation,activationEnergy,reactionEnergy,facet
Pd16,4.0CH4(g) - 3.0H2(g) + * -> 3.0CH3* + CH*,,12.7326450119,111
Ir16,CH4(g) + 0.5H2(g) + 1.5N2(g) + * -> CH2* + 3.0HN*,,5.9707386483,111
Ag16,2.0CH4(g) - 2.0H2(g) + * -> 2.0CH* + 2.0H*,,10.5175669637,111
Pd16,4.0CH4(g) - 4.0H2(g) + * -> 2.0CH3* + 2.0CH*,,13.6901072895,111
Cu16,2.0H2(g) + 1.5N2(g) + * -> 2.0H2N* + N*,,3.46846224408,111
Pt16,3.0H2S(g) - 3.0H2(g) + 0.5N2(g) + * -> N* + 3.0S*,,3.77210192364,111
Ir16,CH4(g) - -0.0H2(g) + N2(g) + * -> CH2* + 2.0HN*,,3.67944803859,111
Ag16,2.0CH4(g) - 2.5H2(g) + * -> 2.0CH* + H*,,9.71197367634,111
Pt16,2.0CH4(g) - H2(g) + N2(g) + * -> 2.0CH2* + 2.0HN*,,8.95710846708,111
Ag16,3.0CH4(g) + H2S(g) - 7.0H2(g) + * -> 3.0C* + S*,,20.4446622251,111
Pd16,H2(g) + 2.0N2(g) + * -> 2.0HN* + 2.0N*,,12.019068455,111
Ir16,3.0H2S(g) - 2.0H2(g) + * -> 2.0HS* + S*,,0.541414879514,111
Rh16,H2(g) + 1.5N2(g) + * -> H2N* + 2.0N*,,1.90686263802,111
Cu16,4.0H2S(g) - 2.5H2(g) + * -> 3.0HS* + S*,,5.96254387137,111
Cu16,H2O(g) + H2(g) + * -> HO* + 3.0H*,,1.13948257219,111
Pd16,4.0H2O(g) - 2.0H2(g) + * -> 4.0HO*,,7.67873680372,111
Rh16,3.0H2(g) + 2.0N2(g) + * -> 3.0H2N* + N*,,3.0803483541,111
Pt16,CH4(g) - -0.0H2(g) + N2(g) + * -> CH2* + 2.0HN*,,3.78215775528,111
Rh16,2.0H2(g) + 2.0N2(g) + * -> 2.0H2N* + 2.0N*,,1.92438309708,111
Cu16,2.0H2O(g) - 2.0H2(g) + 0.5N2(g) + * -> N* + 2.0O*,,7.29175585978,111
Ir16,H2S(g) - H2(g) + * -> S*,,-1.60097951575,111
Cu16,4.0H2S(g) - 2.5H2(g) + * -> 3.0HS* + S*,,5.96841581636,111
Rh16,H2(g) + N2(g) + * -> H2N* + N*,,0.0810648278555,111
Pt16,H2S(g) - 0.5H2(g) + 0.5N2(g) + * -> HN* + S*,,-0.0788673723677,111
Cu16,3.0CH4(g) + H2O(g) - 6.5H2(g) + * -> HO* + 3.0C*,,17.190833938,111
Pd16,3.0H2(g) + 2.0N2(g) + * -> 3.0H2N* + N*,,3.13113602512,111
Cu16,4.0H2S(g) - 3.5H2(g) + * -> HS* + 3.0S*,,3.31991440342,111
Ag16,CH4(g) - -0.0H2(g) + N2(g) + * -> CH2* + 2.0HN*,,10.2223060781,111
Au16,2.0CH4(g) - 2.0H2(g) + * -> CH3* + CH*,,7.17710367803,111
Ir16,2.0CH4(g) - H2(g) + 0.5N2(g) + * -> 2.0CH2* + H2N*,,4.70548797513,111
Pt16,2.0CH4(g) + 2.0H2S(g) - 6.0H2(g) + * -> 2.0C* + 2.0S*,,9.34549821249,111
Cu16,3.0H2S(g) - 2.0H2(g) + * -> 2.0HS* + S*,,0.581816508715,111
Ag16,2.0CH4(g) - 1.5H2(g) + 0.5N2(g) + * -> 2.0CH2* + HN*,,10.658927597,111
Au16,4.0CH4(g) - 3.0H2(g) + * -> 3.0CH3* + CH*,,12.2344852155,111
Cu16,CH4(g) + 2.0H2O(g) - 3.0H2(g) + * -> 2.0HO* + C*,,6.21402027632,111
Pt16,3.0CH4(g) + H2S(g) - 7.0H2(g) + * -> 3.0C* + S*,,9.74799331999,111
Au16,4.0CH4(g) - 4.0H2(g) + * -> 2.0CH3* + 2.0CH*,,12.2735646435,111
Ag16,CH4(g) + 0.5H2(g) + 1.5N2(g) + * -> CH2* + 3.0HN*,,11.9598893367,111
Au16,4.0CH4(g) - 5.0H2(g) + * -> CH3* + 3.0CH*,,14.0166506567,111
Ag16,3.0CH4(g) - 2.5H2(g) + * -> 2.0CH3* + CH*,,9.47360560831,111
Rh16,2.0CH4(g) - 2.0H2(g) + * -> CH3* + CH*,,3.08449135565,111
Pt16,2.0CH4(g) - 2.0H2(g) + * -> 2.0CH* + 2.0H*,,3.96256516292,111
Ir16,2.0CH4(g) - 1.5H2(g) + 0.5N2(g) + * -> 2.0CH2* + HN*,,5.6739877352,111
Pt16,2.0CH4(g) + H2S(g) - 5.0H2(g) + * -> 2.0C* + S*,,7.35056367866,111
