chemicalComposition,Equation,activationEnergy,reactionEnergy,facet
Rh24Zn2,Rh(g) + * -> Rh*,,-4.92380019098,100
Ir37Os,Ir(g) + * -> Ir*,,-7.35002082044,211
Pd2Pt25,Pd(g) + * -> Pd*,,-3.47990981353,100
Au2Pt36,Au(g) + * -> Au*,,-3.00152699754,211
Au25Ir,Ir(g) + * -> Ir*,,-4.97342729462,100
Au24Ru,Ru(g) + * -> Ru*,,-2.78414918822,100
Cu26Pt,Cu(g) + * -> Cu*,,-3.78307967764,111
Cu25Re,Re(g) + * -> Re*,,-7.51250142916,111
Au24Ru3,Ru(g) + * -> Ru*,,-6.12242537524,100
Os2Pd36,Pd(g) + * -> Pd*,,-3.57582695257,211
Pd2Pt24,Pd(g) + * -> Pd*,,-3.54538924966,100
Ag2Au36,Au(g) + * -> Au*,,-2.60085595163,211
PtRh25,Pt(g) + * -> Pt*,,-6.1063272559,100
Os2Pd24,Pd(g) + * -> Pd*,,-4.62871326473,100
Pd3Pt24,Pd(g) + * -> Pd*,,-3.55879214934,100
IrPt25,Pt(g) + * -> Pt*,,-5.67982838782,100
Ir2Pt24,Pt(g) + * -> Pt*,,-4.77720252758,100
CuPd25,Cu(g) + * -> Cu*,,-3.22428851138,100
AgAu25,Ag(g) + * -> Ag*,,-2.38443319389,100
Au24Zn,Zn(g) + * -> Zn*,,-0.713805787258,111
Ag27,Pd(g) + * -> Pd*,,-3.51637619882,111
Rh26,Ir(g) + * -> Ir*,,-7.55333190835,100
AuCu25,Cu(g) + * -> Cu*,,-3.21728851867,111
Rh26,Ir(g) + * -> Ir*,,-6.45113570931,100
Ir25Pd,Ir(g) + * -> Ir*,,-7.52163697142,100
Au26,Ir(g) + * -> Ir*,,-4.69172932218,111
Pt26,Cu(g) + * -> Cu*,,-3.66156424444,111
Ag36Zn,Zn(g) + * -> Zn*,,-0.765645516687,211
Ag26Os,Ag(g) + * -> Ag*,,-2.36146637674,100
Au25,Re(g) + * -> Re*,,-1.65776696592,100
IrRh25,Ir(g) + * -> Ir*,,-6.30613929985,100
Ir24Pd2,Ir(g) + * -> Ir*,,-6.47616099971,100
Au26,Re(g) + * -> Re*,,-3.35841785015,100
Au26,Re(g) + * -> Re*,,-2.42562483619,100
CuIr26,Ir(g) + * -> Ir*,,-6.95124361891,100
Cu2Pt24,Pt(g) + * -> Pt*,,-5.05547581112,100
Ag24Rh,Rh(g) + * -> Rh*,,-2.79947545663,100
Pd24Rh,Rh(g) + * -> Rh*,,-3.70919627734,100
Ag25Os2,Ag(g) + * -> Ag*,,-3.24258326979,111
Ag25Os,Ag(g) + * -> Ag*,,-2.84434607817,111
Au26Pd,Pd(g) + * -> Pd*,,-3.14973836414,100
Pd36Pt2,Pt(g) + * -> Pt*,,-5.2517730285,211
CuPt24,Pt(g) + * -> Pt*,,-4.31498409067,111
Cu24Ru,Cu(g) + * -> Cu*,,-3.57251335419,111
Pt26Rh,Pt(g) + * -> Pt*,,-5.23472319097,100
Ir2Pd24,Pd(g) + * -> Pd*,,-4.20991977651,111
Au24Os,Os(g) + * -> Os*,,-6.99509673873,111
Pt24Zn3,Pt(g) + * -> Pt*,,-4.85323242994,100
Pt25Zn,Zn(g) + * -> Zn*,,-2.29614313395,100
Os3Rh24,Rh(g) + * -> Rh*,,-7.50098951667,111
Au36Cu2,Cu(g) + * -> Cu*,,-2.85779959103,211
CuIr26,Ir(g) + * -> Ir*,,-7.91958864758,111
Cu36Pd,Cu(g) + * -> Cu*,,-3.04603060556,211
Cu25Pt,Cu(g) + * -> Cu*,,-3.37005840451,100
Au37Cu,Cu(g) + * -> Cu*,,-2.89328248883,211
AgPt25,Pt(g) + * -> Pt*,,-5.04900752885,111
Cu37Zn,Zn(g) + * -> Zn*,,-1.39125213001,211
Cu3Rh24,Rh(g) + * -> Rh*,,-5.33305493227,100
Pt25Zn2,Pt(g) + * -> Pt*,,-5.57631049666,111
Pd25Ru,Pd(g) + * -> Pd*,,-3.83847260162,111
AgCu26,Ag(g) + * -> Ag*,,-2.2169686839,111
Pt24Zn,Pt(g) + * -> Pt*,,-4.8095050267,100
Pt26,Zn(g) + * -> Zn*,,-2.20241168138,100
Ag24Ir3,Ag(g) + * -> Ag*,,-3.00831725857,111
Rh26,Ru(g) + * -> Ru*,,-5.80277085406,100
PdRh24,Pd(g) + * -> Pd*,,-3.45946229442,100
Cu2Ir25,Ir(g) + * -> Ir*,,-7.53511218536,111
PdRh26,Rh(g) + * -> Rh*,,-6.30112866341,111
Au2Pt25,Pt(g) + * -> Pt*,,-5.32730618704,111
PdRh26,Rh(g) + * -> Rh*,,-5.70071605105,100
Pt25Rh,Pt(g) + * -> Pt*,,-5.49238888445,100
CuIr25,Ir(g) + * -> Ir*,,-7.03348077835,111
Rh24Ru2,Ru(g) + * -> Ru*,,-7.15952860785,100
Os2Pd25,Pd(g) + * -> Pd*,,-4.04750420299,100
OsPd26,Pd(g) + * -> Pd*,,-4.13551602649,100
Os3Pd24,Pd(g) + * -> Pd*,,-4.63713083457,111
Au24Ir2,Au(g) + * -> Au*,,-3.50899708342,111
Ir36Zn,Zn(g) + * -> Zn*,,-2.01375072698,211
Re2Rh25,Rh(g) + * -> Rh*,,-6.34170009024,100
Ir24Os3,Ir(g) + * -> Ir*,,-9.10377268174,111
Cu24Pd2,Cu(g) + * -> Cu*,,-3.3221279307,111
IrRh25,Rh(g) + * -> Rh*,,-5.26821231058,100
Ir36Zn2,Zn(g) + * -> Zn*,,-1.95437568887,211
Ir25Pt2,Pt(g) + * -> Pt*,,-5.72128745,100
Pt37Ru,Pt(g) + * -> Pt*,,-5.34202870281,211
Rh24Ru2,Ru(g) + * -> Ru*,,-6.84624372769,111
Ir24Os2,Os(g) + * -> Os*,,-6.90604870566,100
Pt36Ru2,Pt(g) + * -> Pt*,,-5.10453113553,211
Cu25Rh,Rh(g) + * -> Rh*,,-5.04896072525,100
AgCu25,Cu(g) + * -> Cu*,,-3.43689004233,100
IrRh26,Rh(g) + * -> Rh*,,-5.76422000867,100
Pd38,Au(g) + * -> Au*,,-3.25766443164,211
Ag26Pd,Ag(g) + * -> Ag*,,-2.53094398498,111
Ir2Rh24,Rh(g) + * -> Rh*,,-6.58969989157,100
AuIr25,Ir(g) + * -> Ir*,,-6.88035408323,100
