,SMILES,Chemical Name,Molecular Formula,Molecular Weight,Melting Point: Melting Point [C],Mol,heterocount,naivescaling,C,N,O,S
34,OC(=O)CS,mercaptoacetic acid; thioglycolic acid; thioacetic acid,C2H4O2S,92.1186,-17.5 - -15.5,<rdkit.Chem.rdchem.Mol object at 0x00000203EA9392E0>,"{'C': 2, 'N': 0, 'O': 2, 'S': 1}","{'C': 0.75, 'N': 0, 'O': 1.0, 'S': 0.5}",0.75,0.0,1.0,0.5
35,NC(=S)CC#N,Cyanothioacetamide,C3H4N2S,100.144,117 - 120,<rdkit.Chem.rdchem.Mol object at 0x00000203EA7063A0>,"{'C': 3, 'N': 2, 'O': 0, 'S': 1}","{'C': 1.25, 'N': 1.3333333333333335, 'O': 0, 'S': 0.5}",1.25,1.3333333333333335,0.0,0.5
36,SC1CCCC1,cyclopentylthiol; Cyclopentanethiol,C5H10S,102.2,-117.76,<rdkit.Chem.rdchem.Mol object at 0x00000203EA712700>,"{'C': 5, 'N': 0, 'O': 0, 'S': 1}","{'C': 2.25, 'N': 0, 'O': 0, 'S': 0.5}",2.25,0.0,0.0,0.5
37,Cl[H].NS,aminothiol hydrochloride; thioamine hydrochloride,ClH*H3NS,85.5575,150,<rdkit.Chem.rdchem.Mol object at 0x00000203EA92A760>,"{'C': 0, 'N': 1, 'O': 0, 'S': 1}","{'C': 0, 'N': 0.6666666666666667, 'O': 0, 'S': 0.5}",0.0,0.6666666666666667,0.0,0.5
38,C\C=C\CS,(E)-2-butene-1-thiol; but-2-ene-1-thiol; crotyl thiol; But-2t-en-1-thiol; trans-But-2-en-1-thiol; but-2t-ene-1-thiol; trans-2-butene-1-thiol; trans-2-butenethiol; 2-butenylmercaptan; crotyl mercaptan,C4H8S,88.1735,128 - 130,<rdkit.Chem.rdchem.Mol object at 0x00000203EA9321C0>,"{'C': 4, 'N': 0, 'O': 0, 'S': 1}","{'C': 2.25, 'N': 0, 'O': 0, 'S': 0.5}",2.25,0.0,0.0,0.5
39,C\C=C/CS,(Z)-2-butene-1-thiol; but-2c-ene-1-thiol; But-2c-en-1-thiol,C4H8S,88.1735,-112.4,<rdkit.Chem.rdchem.Mol object at 0x00000203EA932160>,"{'C': 4, 'N': 0, 'O': 0, 'S': 1}","{'C': 2.25, 'N': 0, 'O': 0, 'S': 0.5}",2.25,0.0,0.0,0.5
40,S=C1NCC=N1,"Imidazolin-2-thion; imidazoline-2(1,3H)-thione; 1,3-dihydro-imidazole-2-thione; 2-imidazolinethione; 3-imidazolin-2-thione; imidazoline-2-thione; imidazolin-2-thione",C3H4N2S,100.144,196 - 198,<rdkit.Chem.rdchem.Mol object at 0x00000203EA7062E0>,"{'C': 3, 'N': 2, 'O': 0, 'S': 1}","{'C': 1.25, 'N': 0.6666666666666667, 'O': 0, 'S': 0.5}",1.25,0.6666666666666667,0.0,0.5
41,S=C1NC=CN1,imidazole-2-thione,C3H4N2S,100.144,223 - 235,<rdkit.Chem.rdchem.Mol object at 0x00000203EA7060A0>,"{'C': 3, 'N': 2, 'O': 0, 'S': 1}","{'C': 1.25, 'N': 0.6666666666666667, 'O': 0, 'S': 0.5}",1.25,0.6666666666666667,0.0,0.5
42,COC(N)=S,O-methyl thiocarbamate,C2H5NOS,91.1338,35 - 36,<rdkit.Chem.rdchem.Mol object at 0x00000203EA9377C0>,"{'C': 2, 'N': 1, 'O': 1, 'S': 1}","{'C': 1.0, 'N': 0.6666666666666667, 'O': 0.0, 'S': 0.5}",1.0,0.6666666666666667,0.0,0.5
43,CC(C)CC=S,thioisovaleraldehyde; 3-methyl-thiobutyraldehyde,C5H10S,102.2,69,<rdkit.Chem.rdchem.Mol object at 0x00000203EA7126A0>,"{'C': 5, 'N': 0, 'O': 0, 'S': 1}","{'C': 2.75, 'N': 0, 'O': 0, 'S': 0.5}",2.75,0.0,0.0,0.5
44,CC(C)S,2-propanethiol; 2-propanthiol,C3H8S,76.1625,128 - 129,<rdkit.Chem.rdchem.Mol object at 0x00000203EA91F1C0>,"{'C': 3, 'N': 0, 'O': 0, 'S': 1}","{'C': 1.75, 'N': 0, 'O': 0, 'S': 0.5}",1.75,0.0,0.0,0.5
45,CC(=S)NO,Acetothiohydroxamic Acid; Acetothiohydroxamsaeure; Thioacethydroxamsaeure; thioacetohydroxamic acid; Thioacetohydroxamsaeure,C2H5NOS,91.1338,30,<rdkit.Chem.rdchem.Mol object at 0x00000203EA937820>,"{'C': 2, 'N': 1, 'O': 1, 'S': 1}","{'C': 1.0, 'N': 0.33333333333333337, 'O': 0.5, 'S': 0.5}",1.0,0.33333333333333337,0.5,0.5
46,SC1=NC=CN1,"1,3-dihydro-imidazole-2-thione; 2-mercaptoimidazole",C3H4N2S,100.144,230 - 231,<rdkit.Chem.rdchem.Mol object at 0x00000203EA7061C0>,"{'C': 3, 'N': 2, 'O': 0, 'S': 1}","{'C': 1.25, 'N': 0.6666666666666667, 'O': 0, 'S': 0.5}",1.25,0.6666666666666667,0.0,0.5
47,NNC(N)=S,thiosemicarbazide; hydrazinecarbothioamide,CH5N3S,91.1368,125 - 126,<rdkit.Chem.rdchem.Mol object at 0x00000203EA9379A0>,"{'C': 1, 'N': 3, 'O': 0, 'S': 1}","{'C': 0.25, 'N': 1.6666666666666667, 'O': 0, 'S': 0.5}",0.25,1.6666666666666667,0.0,0.5
48,FC(F)=S,thiocarbonyl fluoride; Thiocarbonylfluorid; Thiocarbonyldifluorid; Difluorthiocarbonyl; thiocarbonyl difluoride; Difluorthiophosgen; thiokohlensaeuredifluorid,CF2S,82.0738,-163.5,<rdkit.Chem.rdchem.Mol object at 0x00000203EA9238E0>,"{'C': 1, 'N': 0, 'O': 0, 'S': 1}","{'C': 0.25, 'N': 0, 'O': 0, 'S': 0.5}",0.25,0.0,0.0,0.5
49,CNC(N)=S,1-(methyl)-thiourea; N-methylthiourea,C2H6N2S,90.149,125.3,<rdkit.Chem.rdchem.Mol object at 0x00000203EA935F40>,"{'C': 2, 'N': 2, 'O': 0, 'S': 1}","{'C': 1.0, 'N': 1.0, 'O': 0, 'S': 0.5}",1.0,1.0,0.0,0.5
